student_id,grade,track,city_tier,parent_involvement,plan_type,monthly_fee_try,enrollment_date,tenure_months,program_adherence_rate,weekly_study_hours_planned,weekly_study_hours_actual,mentor_contact_freq_per_month,days_since_last_contact,message_response_time_hours,late_response_count_30d,trial_exam_count_total,trial_exam_avg_net,trial_exam_score_trend,missed_trial_exam_count,payment_delay_days_avg,support_ticket_count_90d,satisfaction_survey_score,days_to_next_exam,churn,weekly_study_hours_actual_missing,satisfaction_missing
STU103303,Mezun,Sayısal,Tier 1 (Büyükşehir),Yüksek,3 Aylık,4760.0,2026-04-19,4.2,0.366,17.8,5.7,5.5,3,11.0,6,7,66.4,3.97,1,3.7,4,1.8,297,0,0,0
STU100297,Mezun,Sözel,Tier 3,Düşük,Aylık,1771.0,2025-11-24,9.0,0.586,16.7,10.2,3.7,11,35.5,2,19,51.5,-1.25,1,1.6,2,3.9,300,0,0,0
STU100025,11. Sınıf,Eşit Ağırlık,Tier 2,Yüksek,3 Aylık,4756.0,2026-01-08,7.5,0.599,10.0,6.2,5.0,8,10.8,4,12,58.5,-0.94,3,2.1,0,4.1,666,0,0,0
STU100309,11. Sınıf,Sözel,Tier 1 (Büyükşehir),Orta,Aylık,1785.0,2026-03-16,5.3,0.672,16.4,11.9,2.9,5,19.4,2,11,50.0,0.57,2,5.0,4,1.5,663,0,0,0
STU100130,11. Sınıf,Sayısal,Tier 1 (Büyükşehir),Yüksek,3 Aylık,4919.0,2026-04-25,4.0,0.786,12.5,9.7,2.7,8,19.8,1,9,71.6,2.71,4,0.7,0,4.3,665,1,0,0
STU102380,Mezun,Sayısal,Tier 2,Orta,3 Aylık,4845.0,2026-07-01,1.8,0.803,14.8,10.3,4.6,2,30.4,2,4,32.2,0.4,4,0.7,1,3.9,302,0,0,0
STU100039,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Yüksek,Yıllık,16477.0,2025-09-27,10.9,0.606,13.9,7.0,3.5,6,37.0,5,21,60.3,-2.4,1,7.3,4,3.0,298,1,0,0
STU103022,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Düşük,Aylık,1871.0,2025-11-27,8.9,0.402,12.9,9.0,3.9,6,11.9,2,18,35.6,-3.83,2,2.4,1,3.0,298,0,1,0
STU101004,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Düşük,3 Aylık,4965.0,2026-07-28,0.9,0.843,11.0,6.8,3.7,14,32.2,1,2,48.9,0.21,1,5.4,5,3.8,301,0,0,0
STU100879,12. Sınıf,Sayısal,Tier 2,Yüksek,Yıllık,15642.0,2026-06-06,2.6,0.695,10.7,7.2,2.6,3,58.7,2,6,39.7,0.68,3,2.3,0,3.5,299,1,0,0
STU100926,11. Sınıf,Sayısal,Tier 1 (Büyükşehir),Düşük,Aylık,1773.0,2026-06-09,2.5,0.406,14.7,5.4,3.4,1,30.8,4,5,30.1,-1.9,1,0.5,1,3.0,666,0,0,0
STU102534,Mezun,Dil,Tier 1 (Büyükşehir),Orta,Yıllık,16139.0,2026-01-23,7.0,0.719,13.0,10.6,3.2,7,11.1,1,17,53.2,2.62,4,3.2,2,3.9,303,0,0,0
STU102565,12. Sınıf,Sözel,Tier 1 (Büyükşehir),Düşük,3 Aylık,5100.0,2025-12-15,8.3,0.666,17.3,9.1,6.0,10,9.6,1,14,81.0,1.27,0,2.0,1,3.5,299,0,0,1
STU100711,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Orta,3 Aylık,4739.0,2025-12-24,8.0,0.679,13.1,8.7,3.7,0,12.3,1,17,51.6,1.34,0,4.2,2,3.5,301,0,0,1
STU100209,12. Sınıf,Eşit Ağırlık,Tier 2,Yüksek,3 Aylık,5071.0,2026-04-13,4.4,0.748,15.5,8.2,4.8,3,22.2,1,8,69.7,4.19,2,1.4,2,3.8,297,0,0,0
STU100534,11. Sınıf,Sayısal,Tier 2,Yüksek,Aylık,1646.0,2026-06-03,2.7,0.718,10.5,7.0,5.1,2,10.8,1,5,59.2,3.75,0,1.5,2,5.0,667,0,0,0
STU100798,12. Sınıf,Eşit Ağırlık,Tier 3,Düşük,Aylık,1960.0,2026-08-09,0.5,0.64,14.6,9.5,2.2,6,16.6,2,1,41.4,2.01,1,4.6,1,2.7,297,0,0,0
STU100814,11. Sınıf,Sayısal,Tier 1 (Büyükşehir),Orta,3 Aylık,4804.0,2026-01-30,6.8,0.661,14.9,11.2,6.1,1,23.1,3,14,66.4,0.24,6,9.6,2,3.5,666,0,0,1
STU103126,12. Sınıf,Eşit Ağırlık,Tier 3,Orta,Aylık,1735.0,2025-07-07,13.6,0.832,14.0,9.6,2.5,4,17.9,2,20,49.9,-0.56,1,0.6,1,4.9,300,0,0,0
STU100961,12. Sınıf,Sayısal,Tier 2,Yüksek,Aylık,1717.0,2026-07-10,1.5,0.581,19.7,10.2,4.8,3,9.6,3,3,69.0,-0.03,0,10.3,0,2.5,300,0,0,0
STU100776,12. Sınıf,Sayısal,Tier 3,Düşük,Aylık,2035.0,2026-06-12,2.4,0.818,17.1,15.4,6.0,2,18.6,1,5,44.6,1.11,3,1.1,2,3.7,300,0,0,0
STU103202,Mezun,Dil,Tier 1 (Büyükşehir),Düşük,Aylık,1708.0,2026-06-19,2.2,0.667,12.5,8.2,1.6,4,40.2,2,5,68.3,-0.83,3,12.5,2,2.4,298,0,0,0
STU101046,11. Sınıf,Dil,Tier 3,Düşük,3 Aylık,4253.0,2026-04-25,4.0,0.726,15.7,9.0,2.0,28,17.0,7,5,51.0,1.32,1,2.0,3,3.4,668,0,1,0
STU101574,11. Sınıf,Dil,Tier 1 (Büyükşehir),Orta,Yıllık,14955.0,2026-05-10,3.5,0.546,15.0,7.7,4.0,5,30.4,2,6,65.2,-3.43,1,9.6,2,2.5,668,0,0,0
STU101790,Mezun,Sayısal,Tier 1 (Büyükşehir),Düşük,Yıllık,17216.0,2026-05-22,3.1,0.429,10.3,4.4,3.1,13,37.4,4,5,75.1,-1.56,0,4.9,0,3.2,302,0,0,0
STU100572,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Yüksek,Aylık,1747.0,2025-12-27,7.9,0.32,16.8,5.8,4.0,12,16.1,3,23,32.2,-3.39,3,6.5,1,5.0,297,1,0,0
STU101751,11. Sınıf,Sayısal,Tier 3,Orta,Aylık,1743.0,2026-06-15,2.3,0.758,16.0,12.2,4.6,3,2.5,3,4,66.0,1.93,2,11.6,1,3.7,664,0,0,0
STU102602,12. Sınıf,Sözel,Tier 3,Yüksek,3 Aylık,4888.0,2026-06-15,2.3,0.936,16.1,17.2,3.4,7,42.4,2,4,58.0,1.76,3,1.0,1,3.5,300,0,0,1
STU100992,Mezun,Dil,Tier 1 (Büyükşehir),Düşük,Aylık,1727.0,2025-09-18,11.2,0.923,16.5,17.6,3.5,11,22.5,0,19,44.0,-2.6,2,0.4,2,2.4,301,0,0,0
STU100713,Mezun,Sayısal,Tier 2,Orta,Aylık,1738.0,2025-10-27,9.9,0.632,13.7,9.5,5.5,6,7.1,1,27,55.5,-1.16,2,0.3,2,3.2,302,0,0,0
STU100018,Mezun,Eşit Ağırlık,Tier 2,Orta,Aylık,1924.0,2026-01-23,7.0,0.651,7.0,5.8,4.0,2,24.1,4,12,65.1,-1.16,0,3.6,0,2.2,302,0,0,0
STU102724,11. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,3 Aylık,4816.0,2026-03-25,5.0,0.881,17.7,15.6,4.8,1,18.9,0,11,67.9,0.71,2,4.0,2,3.4,662,0,0,0
STU100294,Mezun,Eşit Ağırlık,Tier 2,Orta,3 Aylık,5034.0,2026-05-13,3.4,0.546,11.0,4.8,5.8,18,14.9,2,10,54.2,0.63,3,1.5,1,3.5,298,0,0,1
STU103404,Mezun,Eşit Ağırlık,Tier 1 (Büyükşehir),Düşük,Aylık,1900.0,2026-05-28,2.9,0.535,11.9,4.4,3.0,8,28.1,1,6,50.2,-6.45,1,19.2,3,3.6,301,1,0,1
STU100208,11. Sınıf,Eşit Ağırlık,Tier 3,Yüksek,Aylık,1828.0,2026-02-20,6.1,0.748,14.1,13.1,3.2,6,5.8,1,11,45.4,0.15,0,0.2,0,2.7,664,0,0,0
STU101137,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,Aylık,1820.0,2025-12-12,8.4,0.597,14.8,9.0,5.9,8,14.3,2,16,52.4,3.05,2,1.8,4,3.9,299,1,1,0
STU101368,11. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,Aylık,1706.0,2026-04-28,3.9,0.768,12.9,10.8,3.0,30,4.4,2,5,35.8,-1.74,1,2.1,1,3.6,665,0,0,1
STU102905,12. Sınıf,Eşit Ağırlık,Tier 2,Orta,3 Aylık,4846.0,2026-07-16,1.3,0.694,10.9,9.0,5.2,9,22.9,4,3,63.5,1.89,2,0.1,3,2.6,298,0,1,0
STU101774,12. Sınıf,Sayısal,Tier 3,Orta,3 Aylık,5084.0,2026-05-19,3.2,0.57,12.2,7.5,3.7,24,54.6,0,8,64.5,0.54,2,5.2,2,4.8,298,0,0,0
STU103096,11. Sınıf,Sayısal,Tier 2,Orta,Aylık,1646.0,2026-07-16,1.3,0.742,11.2,9.0,5.0,66,11.8,4,3,41.0,-0.11,3,3.2,0,3.6,665,1,1,1
STU102511,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Düşük,Aylık,1825.0,2026-06-12,2.4,0.731,14.1,9.7,3.6,0,19.4,6,4,57.1,-0.25,1,2.3,2,1.9,302,0,0,0
STU100141,12. Sınıf,Sayısal,Tier 2,Yüksek,3 Aylık,4917.0,2026-06-09,2.5,0.795,11.7,7.4,5.9,4,8.7,1,6,28.5,-4.79,2,3.8,3,5.0,300,0,0,0
STU100569,12. Sınıf,Sayısal,Tier 3,Yüksek,Yıllık,17690.0,2026-07-22,1.1,0.5,13.8,9.2,5.3,11,12.5,1,2,46.1,-1.32,2,10.9,0,2.3,303,1,0,0
STU101662,Mezun,Sayısal,Tier 1 (Büyükşehir),Orta,Yıllık,16809.0,2025-11-27,8.9,0.876,21.9,13.5,4.3,15,27.5,0,17,46.9,2.92,2,15.3,1,3.6,297,0,0,1
STU101839,12. Sınıf,Sayısal,Tier 2,Düşük,3 Aylık,4709.0,2026-02-08,6.5,0.539,7.9,3.2,4.9,6,8.7,1,13,38.6,5.55,3,16.8,0,1.1,301,1,0,0
STU100811,11. Sınıf,Sözel,Tier 1 (Büyükşehir),Orta,3 Aylık,5415.0,2026-04-22,4.1,0.413,18.4,7.4,6.6,11,17.0,2,12,46.3,1.87,1,0.1,2,4.4,667,1,0,0
STU101836,11. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,3 Aylık,4785.0,2026-05-13,3.4,0.832,14.7,10.5,2.0,16,31.8,4,8,64.8,-0.68,4,2.1,2,3.5,666,0,0,1
STU100296,Mezun,Eşit Ağırlık,Tier 2,Orta,3 Aylık,5094.0,2026-05-28,2.9,0.728,9.3,6.3,4.1,7,4.5,2,7,50.3,1.77,1,4.9,1,3.5,302,0,0,0
STU101900,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Düşük,Aylık,1734.0,2026-05-16,3.3,0.543,10.9,5.2,4.7,6,18.8,2,7,39.8,-1.48,3,5.8,2,2.6,300,1,0,0
STU101967,Mezun,Sayısal,Tier 3,Düşük,Aylık,1789.0,2026-06-28,1.9,0.516,18.2,9.2,3.4,36,16.2,1,3,46.0,-1.63,1,6.8,2,3.7,301,0,0,0
STU102508,12. Sınıf,Sözel,Tier 1 (Büyükşehir),Orta,3 Aylık,4981.0,2026-06-03,2.7,0.759,14.9,10.7,5.0,22,26.0,1,8,58.3,1.48,2,7.3,3,1.9,298,0,0,0
STU102770,11. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,Aylık,1903.0,2026-03-16,5.3,0.485,13.6,5.7,5.5,0,2.6,3,11,50.8,0.7,1,2.2,1,3.6,668,0,0,1
STU102017,11. Sınıf,Sayısal,Tier 1 (Büyükşehir),Orta,Aylık,1721.0,2026-01-11,7.4,0.594,9.8,6.2,2.4,2,17.1,4,20,34.2,-2.42,1,0.8,2,4.2,662,0,0,0
STU101705,Mezun,Sayısal,Tier 1 (Büyükşehir),Orta,Aylık,1917.0,2026-04-22,4.1,0.238,18.0,4.0,4.3,2,20.1,4,7,69.1,3.88,3,3.8,0,3.6,302,0,0,0
STU100921,Mezun,Sayısal,Tier 1 (Büyükşehir),Orta,Aylık,1928.0,2025-11-08,9.5,0.637,14.6,7.9,5.6,11,0.2,5,20,67.6,-2.65,2,1.2,0,3.1,299,0,0,0
STU103002,11. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,Aylık,1848.0,2025-05-07,15.6,0.612,12.3,7.1,5.5,0,12.1,0,19,46.1,1.0,1,2.2,0,3.1,664,0,0,0
STU102229,12. Sınıf,Sayısal,Tier 3,Orta,Aylık,1884.0,2026-06-09,2.5,0.658,13.5,8.5,3.4,9,7.6,1,6,40.9,1.07,2,2.3,2,3.6,303,0,0,1
STU102703,Mezun,Sayısal,Tier 1 (Büyükşehir),Düşük,Aylık,1740.0,2025-10-18,10.2,0.637,17.1,10.7,2.4,5,42.5,2,22,41.5,1.03,2,2.7,1,2.5,299,1,0,0
STU101669,Mezun,Sayısal,Tier 1 (Büyükşehir),Düşük,Yıllık,16682.0,2025-09-18,11.2,0.762,17.2,14.2,5.3,20,34.6,1,26,69.8,0.51,2,0.2,1,4.3,303,0,0,0
STU103089,Mezun,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,3 Aylık,5194.0,2026-08-06,0.6,0.968,9.9,9.3,4.1,6,4.3,3,1,64.4,4.0,1,5.9,2,4.7,299,0,0,0
STU100689,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,Aylık,1804.0,2025-09-15,11.3,0.605,16.1,9.4,4.1,17,50.4,3,24,66.5,-0.8,1,0.5,1,2.2,301,0,0,0
STU103288,11. Sınıf,Sözel,Tier 1 (Büyükşehir),Düşük,3 Aylık,4884.0,2026-07-04,1.7,0.621,14.4,10.6,5.5,39,30.9,3,3,47.9,-4.36,1,3.7,1,3.4,666,1,0,0
STU100729,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Yüksek,Aylık,1969.0,2026-05-31,2.8,0.427,16.2,7.6,2.6,1,12.7,2,6,66.7,0.62,1,0.3,1,4.6,300,0,0,0
STU102607,11. Sınıf,Sayısal,Tier 3,Düşük,3 Aylık,5386.0,2026-06-06,2.6,0.95,12.8,13.4,4.6,9,34.8,2,4,44.4,1.62,0,5.0,0,3.4,665,0,0,0
STU101058,12. Sınıf,Sayısal,Tier 2,Yüksek,3 Aylık,4868.0,2026-06-06,2.6,0.792,16.4,13.0,5.6,2,13.8,1,5,70.6,-0.09,2,4.9,3,2.9,297,0,0,0
STU100995,12. Sınıf,Sayısal,Tier 3,Düşük,Aylık,1848.0,2026-01-11,7.4,0.844,10.0,7.1,4.1,6,16.1,0,11,67.1,1.3,2,0.4,2,3.7,301,0,0,0
STU100283,11. Sınıf,Sayısal,Tier 1 (Büyükşehir),Düşük,Aylık,1822.0,2026-04-28,3.9,0.816,16.8,14.1,7.0,0,12.5,2,5,40.3,-2.59,1,6.6,0,3.6,667,0,0,1
STU101962,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Yüksek,3 Aylık,4640.0,2026-06-06,2.6,0.727,15.9,11.7,3.6,12,13.7,2,5,77.8,-2.42,0,1.6,2,1.9,301,1,0,0
STU101008,12. Sınıf,Sözel,Tier 2,Yüksek,Yıllık,17495.0,2026-06-22,2.1,0.598,12.8,6.8,6.0,5,24.5,1,4,80.0,-4.42,1,3.2,0,2.3,303,0,0,0
STU101249,Mezun,Sayısal,Tier 2,Orta,Aylık,1966.0,2026-07-28,0.9,0.68,17.4,12.4,3.4,3,16.1,3,1,47.8,1.15,1,0.8,1,4.8,303,1,0,0
STU101726,12. Sınıf,Sayısal,Tier 2,Orta,Yıllık,16884.0,2026-05-04,3.7,0.45,17.3,7.0,5.0,0,6.2,2,9,44.7,2.06,3,14.0,1,1.4,303,0,0,0
STU103473,12. Sınıf,Dil,Tier 1 (Büyükşehir),Orta,Yıllık,16872.0,2025-11-30,8.8,0.887,11.5,10.1,5.1,16,21.7,1,15,79.5,-0.04,3,2.3,0,2.3,297,0,0,0
STU102887,Mezun,Sayısal,Tier 1 (Büyükşehir),Orta,3 Aylık,4671.0,2026-01-14,7.3,0.967,19.4,16.0,4.3,14,17.5,3,23,56.0,-3.67,2,6.3,0,4.8,301,0,0,0
STU103021,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Düşük,Aylık,1896.0,2026-02-23,6.0,0.81,12.7,10.8,4.8,4,17.5,0,13,53.0,-1.59,2,15.0,3,1.7,303,0,0,0
STU101078,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Düşük,Yıllık,15420.0,2026-04-28,3.9,0.639,15.1,9.3,4.2,7,18.5,2,8,62.3,-3.65,1,7.1,3,3.6,301,1,0,1
STU103151,12. Sınıf,Dil,Tier 1 (Büyükşehir),Orta,Yıllık,16756.0,2026-01-26,6.9,0.745,14.6,11.2,2.8,5,1.6,1,13,37.4,-4.98,0,0.9,1,3.2,301,0,0,0
STU100748,Mezun,Sayısal,Tier 2,Yüksek,Aylık,1721.0,2026-04-13,4.4,0.855,14.0,11.7,5.3,4,11.7,2,11,68.8,-5.19,0,7.0,0,5.0,303,0,0,0
STU102285,11. Sınıf,Eşit Ağırlık,Tier 2,Yüksek,Aylık,1798.0,2025-12-03,8.7,0.48,9.0,4.8,7.5,11,46.0,1,18,32.3,0.17,2,2.8,1,5.0,663,0,0,0
STU101713,Mezun,Sözel,Tier 1 (Büyükşehir),Yüksek,3 Aylık,4957.0,2026-06-28,1.9,0.815,12.9,10.1,5.0,20,12.7,0,4,50.2,-3.61,1,1.0,0,3.8,300,0,0,0
STU101192,Mezun,Eşit Ağırlık,Tier 3,Orta,Aylık,1749.0,2025-12-30,7.8,0.584,15.0,9.0,4.8,1,11.8,3,19,62.1,0.08,0,3.1,1,5.0,300,0,1,0
STU100610,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Düşük,3 Aylık,4195.0,2026-07-22,1.1,0.567,12.4,6.3,4.5,13,19.6,1,1,58.0,-0.78,1,1.9,2,3.5,297,1,0,1
STU100037,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Yüksek,3 Aylık,4943.0,2025-07-25,13.0,0.862,13.3,13.0,3.2,18,8.3,3,29,49.3,-1.81,2,6.6,3,3.3,301,1,0,0
STU102118,11. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,3 Aylık,5122.0,2026-06-09,2.5,0.687,12.7,11.4,3.6,38,15.4,3,5,48.7,-3.08,2,3.1,1,3.5,663,0,0,1
STU102015,12. Sınıf,Dil,Tier 2,Yüksek,Yıllık,15258.0,2026-06-09,2.5,0.871,11.3,7.1,5.4,2,17.2,3,6,50.8,3.14,3,3.9,2,3.8,302,1,0,0
STU102466,Mezun,Sözel,Tier 1 (Büyükşehir),Düşük,Aylık,1862.0,2026-07-10,1.5,0.813,14.3,10.4,4.2,43,13.6,2,2,47.9,-0.22,1,6.6,0,2.9,303,0,0,0
STU101312,12. Sınıf,Eşit Ağırlık,Tier 2,Yüksek,Aylık,1868.0,2026-02-11,6.4,0.699,20.2,15.7,5.6,4,22.8,3,14,54.3,-3.51,3,0.9,4,3.6,301,0,0,1
STU102000,Mezun,Sayısal,Tier 1 (Büyükşehir),Yüksek,Yıllık,17093.0,2026-02-17,6.2,0.679,9.8,6.7,5.7,11,17.3,2,11,59.8,2.11,0,4.4,2,3.6,299,0,0,0
STU103328,12. Sınıf,Eşit Ağırlık,Tier 2,Orta,Aylık,1667.0,2026-05-22,3.1,0.803,10.5,7.8,4.2,19,5.3,1,6,38.1,3.82,1,1.8,1,3.6,297,1,0,1
STU100346,Mezun,Eşit Ağırlık,Tier 1 (Büyükşehir),Düşük,Aylık,1767.0,2026-07-01,1.8,0.842,14.7,13.8,3.3,1,30.6,1,4,52.0,1.84,1,2.0,1,3.9,298,0,0,0
